no,class,entropy
319,malware,4.80611078302669
320,malware,5.439004243129103
321,malware,5.323690501052517
322,malware,5.538212461680491
323,malware,5.716703220693546
324,malware,6.099779637802744
325,malware,5.214977827469218
326,malware,5.4639267258374185
327,malware,5.737813826731612
328,malware,4.794937817141313
329,malware,6.065192837902215
330,malware,5.453625412348879
331,malware,4.447768193849913
332,malware,4.786089115168897
333,malware,5.602769488589313
334,malware,5.784541947372547
335,malware,5.849443717435613
336,malware,5.1962629316730995
337,malware,5.672396303942416
338,malware,6.011240390921822
339,malware,5.644848142165514
340,malware,6.011548057828858
341,malware,4.529976293675521
342,malware,5.08920907564702
343,malware,5.072589358938208
344,malware,4.495564835016011
345,malware,4.761889819376551
346,malware,5.362083423843157
347,malware,5.4101751970440946
348,malware,5.876825312450752
349,malware,5.515395296033893
350,malware,4.472200716849745
351,malware,5.806546500683927
352,malware,6.010279246066217
353,malware,6.009811262617969
354,malware,6.141499853340484
355,malware,5.498471193920418
356,malware,5.635888681251335
357,malware,5.557997762493028
358,malware,6.044275321837468
359,malware,6.0100266205545925
360,malware,4.9586840067271805
361,malware,4.962771289748373
362,malware,5.561149700093489
363,malware,6.046452195590922
364,malware,4.6354965315065355
365,malware,5.578803136820131
366,malware,4.962782926610166
367,malware,5.281759325475767
368,malware,6.055635210842343
369,malware,3.213379402988399
370,malware,5.392960347838099
371,malware,5.658795375658261
372,malware,3.5158842330604445
373,malware,5.846141838919291
374,malware,5.38775816364278
375,malware,5.496459054208214
376,malware,4.843772067245048
377,malware,6.174811780287364
378,malware,6.004745708181921
379,malware,5.397939877709027
380,malware,5.423984423750787
381,malware,3.4863794617335
382,malware,6.101698805097049
383,malware,5.443814594678869
384,malware,5.22878729331295
385,malware,6.188312324893917
386,malware,5.0910050671404194
387,malware,4.666016497835746
388,malware,4.086694721671762
389,malware,6.128814591709426
390,malware,5.6081537245197275
391,malware,5.683046554842912
392,malware,6.011491790313008
393,malware,5.397543428139764
394,malware,4.521829430123399
395,malware,5.44945596718559
396,malware,6.291695630586227
397,malware,6.0266404072244475
398,malware,4.698687910634598
399,malware,5.215311532225102
400,malware,4.420216338627227
401,malware,4.790740741830693
402,malware,5.5497612237451035
403,malware,5.507379088545225
404,malware,6.024603097154565
405,malware,5.770146383400323
406,malware,5.313653214185599
407,malware,5.50919051760771
