no,class,longest
889,benign,154
890,benign,94
891,benign,120
892,benign,83
893,benign,180
894,benign,95
895,benign,3186
896,benign,98
897,benign,281
898,benign,410
899,benign,147
900,benign,55
901,benign,79
902,benign,202
903,benign,151
904,benign,95
905,benign,124
906,benign,333
907,benign,96
908,benign,75
909,benign,148
910,benign,300
911,benign,201
912,benign,75
913,benign,174
914,benign,126
915,benign,121
916,benign,144
917,benign,83
918,benign,178
919,benign,131
920,benign,185
921,benign,96
922,benign,217
923,benign,119
924,benign,92
925,benign,137
926,benign,75
927,benign,198
928,benign,82
929,benign,72
930,benign,94
931,benign,168
932,benign,316
933,benign,75
934,benign,126
935,benign,109
936,benign,188
937,benign,92
938,benign,56
939,benign,263
940,benign,155
941,benign,224
942,benign,179
943,benign,87
944,benign,76
945,benign,75
946,benign,145
947,benign,140
948,benign,94
949,benign,1134
950,benign,4054
951,benign,194
952,benign,105
953,benign,192
954,benign,84
955,benign,3186
956,benign,3220
957,benign,117
958,benign,167
959,benign,156
960,benign,163
961,benign,97
962,benign,144
963,benign,129
964,benign,366
965,benign,182
966,benign,191
967,benign,80
968,benign,121
969,benign,79
970,benign,74
971,benign,3186
972,benign,75
973,benign,159
974,benign,89
975,benign,93
976,benign,95
977,benign,126
978,benign,160
979,benign,98
980,benign,113
981,benign,82
982,benign,206
983,benign,86
984,benign,3186
985,benign,4078
986,benign,83
987,benign,120
988,benign,280
989,benign,83
990,benign,214
991,benign,158
992,benign,140
993,benign,114
994,benign,285
995,benign,185
996,benign,414
997,benign,182
998,benign,264
999,benign,235
